Date,Close,Open,High,Low
31/12/2015,430.00,427.10,433.10,417.10
01/01/2016,434.00,430.00,438.00,425.90
02/01/2016,433.70,434.00,437.40,430.70
03/01/2016,430.70,433.70,434.10,423.10
04/01/2016,433.30,430.70,435.30,428.60
05/01/2016,431.20,433.30,435.30,428.90
06/01/2016,430.80,431.20,432.10,425.00
07/01/2016,457.00,430.80,457.50,428.50
08/01/2016,452.90,457.00,462.90,446.50
09/01/2016,448.30,452.90,454.50,444.90
10/01/2016,446.20,448.30,448.90,438.60
11/01/2016,447.70,446.20,451.10,441.80
12/01/2016,445.00,447.70,448.40,443.10
13/01/2016,432.20,445.00,443.70,420.40
14/01/2016,429.10,432.20,433.70,427.00
15/01/2016,372.30,429.10,430.10,364.70
16/01/2016,385.00,372.30,386.70,350.40
17/01/2016,382.50,385.00,390.70,377.70
18/01/2016,384.40,382.50,387.30,373.20
19/01/2016,379.50,384.40,386.70,375.90
20/01/2016,414.60,379.50,425.70,374.00
21/01/2016,410.20,414.60,423.40,403.90
22/01/2016,382.60,410.20,411.50,374.90
23/01/2016,388.60,382.60,395.40,380.30
24/01/2016,402.10,388.60,405.40,385.50
25/01/2016,392.80,402.10,403.80,386.90
26/01/2016,389.80,392.80,397.70,387.90
27/01/2016,395.00,389.80,397.40,389.40
28/01/2016,379.70,395.00,395.40,376.70
29/01/2016,380.30,379.70,385.80,363.50
30/01/2016,377.80,380.30,381.80,375.00
31/01/2016,369.80,377.80,380.50,366.90
01/02/2016,372.20,369.80,379.80,365.30
02/02/2016,373.90,372.20,376.60,371.40
03/02/2016,368.00,373.90,375.90,366.20
04/02/2016,390.60,368.00,391.80,368.00
05/02/2016,386.50,390.60,391.10,384.50
06/02/2016,376.70,386.50,386.40,372.90
07/02/2016,377.90,376.70,382.60,375.30
08/02/2016,372.60,377.90,380.90,372.10
09/02/2016,375.30,372.60,377.60,371.40
10/02/2016,381.90,375.30,385.40,374.10
11/02/2016,379.50,381.90,383.20,372.80
12/02/2016,384.00,379.50,386.40,379.30
13/02/2016,390.10,384.00,392.60,383.30
14/02/2016,405.50,390.10,405.90,390.10
15/02/2016,401.10,405.50,410.90,396.60
16/02/2016,406.40,401.10,409.80,398.00
17/02/2016,417.10,406.40,421.50,405.00
18/02/2016,421.40,417.10,425.50,414.80
19/02/2016,420.00,421.40,424.30,416.40
20/02/2016,440.10,420.00,442.70,419.50
21/02/2016,437.90,440.10,447.60,425.50
22/02/2016,437.80,437.90,440.20,431.30
23/02/2016,419.90,437.80,440.80,414.40
24/02/2016,422.70,419.90,425.20,410.40
25/02/2016,423.50,422.70,427.20,417.50
26/02/2016,427.30,423.50,427.60,419.10
27/02/2016,431.30,427.30,434.10,427.30
28/02/2016,432.50,431.30,435.60,421.20
29/02/2016,436.20,432.50,441.30,429.80
01/03/2016,434.00,436.20,439.00,428.50
02/03/2016,425.40,434.00,435.90,423.90
03/03/2016,419.60,425.40,425.80,414.90
04/03/2016,409.50,419.60,423.40,407.20
05/03/2016,399.00,409.50,410.10,386.90
06/03/2016,406.00,399.00,412.00,393.10
07/03/2016,414.90,406.00,416.60,402.00
08/03/2016,411.90,414.90,416.70,408.40
09/03/2016,412.80,411.90,414.90,408.90
10/03/2016,415.80,412.80,417.50,410.30
11/03/2016,419.10,415.80,422.40,415.10
12/03/2016,410.40,419.10,420.70,407.00
13/03/2016,412.40,410.40,415.90,409.60
14/03/2016,414.30,412.40,416.10,411.20
15/03/2016,415.10,414.30,417.40,412.30
16/03/2016,415.90,415.10,417.00,413.30
17/03/2016,418.20,415.90,419.60,415.30
18/03/2016,408.20,418.20,418.60,402.50
19/03/2016,408.70,408.20,410.50,402.10
20/03/2016,411.50,408.70,413.50,407.20
21/03/2016,411.10,411.50,413.10,407.30
22/03/2016,416.20,411.10,417.90,410.80
23/03/2016,417.00,416.20,419.60,414.20
24/03/2016,414.70,417.00,417.70,412.90
25/03/2016,415.70,414.70,417.30,412.40
26/03/2016,416.50,415.70,417.70,413.90
27/03/2016,424.60,416.50,427.40,415.50
28/03/2016,422.20,424.60,425.40,419.70
29/03/2016,415.00,422.20,424.50,406.40
30/03/2016,412.40,415.00,416.20,408.40
31/03/2016,415.70,412.40,417.20,411.50
01/04/2016,415.60,415.70,416.90,412.80
02/04/2016,418.50,415.60,420.10,415.10
03/04/2016,419.10,418.50,420.20,417.00
04/04/2016,419.30,419.10,420.40,416.20
05/04/2016,422.10,419.30,423.70,418.00
06/04/2016,421.30,422.10,422.80,419.50
07/04/2016,420.10,421.30,422.00,417.90
08/04/2016,417.70,420.10,423.50,415.50
09/04/2016,418.00,417.70,418.90,412.40
10/04/2016,420.30,418.00,421.60,416.70
11/04/2016,421.40,420.30,422.40,418.10
12/04/2016,424.70,421.40,426.70,420.70
13/04/2016,423.50,424.70,426.60,421.40
14/04/2016,424.00,423.50,425.40,421.80
15/04/2016,428.70,424.00,429.50,423.30
16/04/2016,430.00,428.70,432.00,426.80
17/04/2016,426.30,430.00,430.60,423.80
18/04/2016,427.70,426.30,429.10,424.40
19/04/2016,434.90,427.70,436.10,426.80
20/04/2016,441.20,434.90,442.90,432.50
21/04/2016,449.30,441.20,450.80,439.50
22/04/2016,445.30,449.30,450.20,441.90
23/04/2016,450.10,445.30,451.50,443.10
24/04/2016,457.60,450.10,461.80,447.90
25/04/2016,461.70,457.60,466.20,451.80
26/04/2016,466.00,461.70,468.90,459.20
27/04/2016,447.00,466.00,467.90,444.60
28/04/2016,448.50,447.00,450.10,433.90
29/04/2016,455.00,448.50,456.30,445.20
30/04/2016,448.50,455.00,456.90,446.60
01/05/2016,452.20,448.50,454.20,447.50
02/05/2016,444.20,452.20,453.90,440.20
03/05/2016,450.30,444.20,451.50,441.50
04/05/2016,445.80,450.30,450.90,444.20
05/05/2016,448.10,445.80,449.20,444.40
06/05/2016,459.60,448.10,461.50,445.70
07/05/2016,458.50,459.60,460.60,454.60
08/05/2016,457.90,458.50,460.20,454.90
09/05/2016,460.40,457.90,464.20,455.40
10/05/2016,449.40,460.40,462.10,446.80
11/05/2016,452.50,449.40,456.10,449.60
12/05/2016,454.40,452.50,455.30,448.40
13/05/2016,455.40,454.40,457.20,451.50
14/05/2016,456.40,455.40,457.70,453.60
15/05/2016,458.10,456.40,460.30,455.00
16/05/2016,454.90,458.10,459.60,450.70
17/05/2016,453.30,454.90,456.30,451.70
18/05/2016,454.20,453.30,456.60,452.40
19/05/2016,442.70,454.20,455.20,441.10
20/05/2016,442.10,442.70,447.80,435.40
21/05/2016,443.60,442.10,445.20,439.70
22/05/2016,439.60,443.60,444.20,436.90
23/05/2016,443.70,439.60,445.00,438.20
24/05/2016,446.10,443.70,447.90,442.00
25/05/2016,449.80,446.10,451.20,445.40
26/05/2016,453.30,449.80,454.30,447.70
27/05/2016,474.00,453.30,479.20,452.70
28/05/2016,524.20,474.00,531.80,467.00
29/05/2016,516.00,524.20,548.00,493.20
30/05/2016,532.30,516.00,544.20,512.80
31/05/2016,528.90,532.30,546.90,513.20
01/06/2016,537.40,528.90,542.30,521.30
02/06/2016,537.10,537.40,541.50,530.50
03/06/2016,567.00,537.10,573.70,534.30
04/06/2016,572.00,567.00,592.70,560.90
05/06/2016,574.90,572.00,583.60,567.80
06/06/2016,583.60,574.90,586.70,571.70
07/06/2016,575.60,583.60,591.30,543.60
08/06/2016,580.50,575.60,582.40,567.80
09/06/2016,574.70,580.50,580.70,569.30
10/06/2016,577.90,574.70,579.30,571.10
11/06/2016,591.60,577.90,592.60,576.30
12/06/2016,666.50,591.60,683.80,592.80
13/06/2016,700.10,666.50,718.20,652.80
14/06/2016,685.10,700.10,702.50,654.70
15/06/2016,690.80,685.10,695.10,670.50
16/06/2016,761.20,690.80,769.70,687.40
17/06/2016,743.90,761.20,771.90,704.20
18/06/2016,753.80,743.90,776.00,727.10
19/06/2016,761.00,753.80,765.10,740.40
20/06/2016,734.00,761.00,764.60,717.40
21/06/2016,667.40,734.00,732.20,626.00
22/06/2016,590.60,667.40,677.80,586.60
23/06/2016,620.80,590.60,629.50,539.30
24/06/2016,656.90,620.80,687.40,616.40
25/06/2016,663.50,656.90,688.10,640.80
26/06/2016,625.40,663.50,665.20,609.90
27/06/2016,644.70,625.40,650.30,615.20
28/06/2016,644.90,644.70,659.30,634.30
29/06/2016,636.50,644.90,645.90,621.80
30/06/2016,670.00,636.50,673.00,631.20
01/07/2016,674.60,670.00,685.10,661.10
02/07/2016,698.10,674.60,700.50,671.50
03/07/2016,661.60,698.10,701.50,644.60
04/07/2016,675.20,661.60,679.00,644.00
05/07/2016,663.70,675.20,679.20,657.30
06/07/2016,672.70,663.70,678.40,662.20
07/07/2016,635.30,672.70,676.20,605.00
08/07/2016,662.80,635.30,663.40,630.20
09/07/2016,651.80,662.80,663.50,620.70
10/07/2016,647.10,651.80,652.00,636.80
11/07/2016,646.70,647.10,657.50,640.00
12/07/2016,670.60,646.70,673.20,644.60
13/07/2016,661.20,670.60,672.00,656.00
14/07/2016,657.30,661.20,661.90,646.30
15/07/2016,664.20,657.30,667.50,656.50
16/07/2016,660.70,664.20,665.40,655.70
17/07/2016,676.30,660.70,680.90,660.10
18/07/2016,670.40,676.30,680.40,664.60
19/07/2016,671.10,670.40,673.20,663.60
20/07/2016,664.40,671.10,672.30,659.50
21/07/2016,664.60,664.40,666.50,657.80
22/07/2016,651.10,664.60,669.40,645.70
23/07/2016,655.20,651.10,658.20,648.00
24/07/2016,659.30,655.20,664.20,651.00
25/07/2016,654.00,659.30,662.50,651.10
26/07/2016,654.40,654.00,657.80,643.50
27/07/2016,654.50,654.40,659.10,646.00
28/07/2016,654.10,654.50,658.00,650.80
29/07/2016,655.40,654.10,657.40,651.00
30/07/2016,654.70,655.40,657.50,652.10
31/07/2016,621.90,654.70,654.90,621.40
01/08/2016,607.00,621.90,627.90,603.50
02/08/2016,513.40,607.00,613.80,471.40
03/08/2016,566.40,513.40,573.10,514.10
04/08/2016,576.20,566.40,584.90,559.50
05/08/2016,574.70,576.20,580.00,565.80
06/08/2016,586.50,574.70,596.70,565.30
07/08/2016,590.80,586.50,596.00,580.90
08/08/2016,589.20,590.80,594.20,585.40
09/08/2016,585.30,589.20,591.20,581.10
10/08/2016,590.90,585.30,600.50,580.90
11/08/2016,587.80,590.90,599.20,585.40
12/08/2016,587.10,587.80,591.10,582.20
13/08/2016,584.60,587.10,590.10,582.80
14/08/2016,569.10,584.60,585.80,559.90
15/08/2016,567.00,569.10,575.00,559.30
16/08/2016,580.20,567.00,583.40,563.40
17/08/2016,572.30,580.20,581.10,568.70
18/08/2016,573.40,572.30,579.50,570.80
19/08/2016,574.60,573.40,577.90,566.30
20/08/2016,582.60,574.60,583.50,572.30
21/08/2016,580.70,582.60,585.30,577.80
22/08/2016,587.50,580.70,591.90,577.10
23/08/2016,583.60,587.50,589.90,578.60
24/08/2016,579.70,583.60,584.50,576.80
25/08/2016,578.00,579.70,580.70,570.80
26/08/2016,579.40,578.00,582.70,575.80
27/08/2016,570.30,579.40,580.40,567.30
28/08/2016,575.00,570.30,576.30,569.20
29/08/2016,574.20,575.00,578.60,571.40
30/08/2016,577.30,574.20,579.90,572.50
31/08/2016,573.90,577.30,578.30,571.70
01/09/2016,572.00,573.90,705.00,569.40
02/09/2016,575.30,572.00,577.60,569.30
03/09/2016,598.80,575.30,605.00,572.60
04/09/2016,609.50,598.80,615.20,590.80
05/09/2016,605.80,609.50,610.60,598.80
06/09/2016,610.40,605.80,612.00,603.50
07/09/2016,613.20,610.40,616.50,606.20
08/09/2016,625.60,613.20,629.30,611.30
09/09/2016,623.20,625.60,627.60,617.30
10/09/2016,624.50,623.20,627.50,621.10
11/09/2016,605.60,624.50,630.80,592.80
12/09/2016,608.00,605.60,610.60,603.00
13/09/2016,608.60,608.00,612.00,604.90
14/09/2016,609.50,608.60,612.20,606.40
15/09/2016,608.10,609.50,610.70,605.10
16/09/2016,607.80,608.10,610.40,605.20
17/09/2016,607.10,607.80,609.60,604.50
18/09/2016,610.70,607.10,612.40,605.20
19/09/2016,609.80,610.70,612.40,607.00
20/09/2016,609.20,609.80,611.30,605.90
21/09/2016,597.20,609.20,608.80,591.70
22/09/2016,595.60,597.20,599.80,592.80
23/09/2016,602.90,595.60,603.70,594.10
24/09/2016,602.60,602.90,605.90,600.50
25/09/2016,601.50,602.60,604.90,598.30
26/09/2016,606.50,601.50,608.50,598.20
27/09/2016,605.50,606.50,609.00,601.70
28/09/2016,604.70,605.50,606.90,602.60
29/09/2016,604.70,604.70,607.20,602.00
30/09/2016,608.10,604.70,608.80,602.30
01/10/2016,613.40,608.10,615.00,607.10
02/10/2016,610.70,613.40,614.20,607.70
03/10/2016,611.60,610.70,613.20,608.50
04/10/2016,609.00,611.60,612.70,606.50
05/10/2016,611.80,609.00,613.70,608.00
06/10/2016,611.00,611.80,612.70,608.50
07/10/2016,616.00,611.00,619.40,609.10
08/10/2016,617.70,616.00,619.60,614.90
09/10/2016,615.80,617.70,618.30,613.00
10/10/2016,617.30,615.80,618.80,612.80
11/10/2016,640.50,617.30,642.30,615.60
12/10/2016,636.00,640.50,642.50,632.20
13/10/2016,635.60,636.00,639.50,632.30
14/10/2016,637.90,635.60,640.50,630.70
15/10/2016,637.00,637.90,641.40,635.10
16/10/2016,640.10,637.00,642.20,636.40
17/10/2016,637.40,640.10,641.30,634.90
18/10/2016,635.30,637.40,639.30,632.20
19/10/2016,629.10,635.30,637.30,624.10
20/10/2016,628.30,629.10,630.80,625.50
21/10/2016,630.50,628.30,633.30,627.60
22/10/2016,655.50,630.50,659.90,629.70
23/10/2016,653.00,655.50,661.20,648.80
24/10/2016,650.50,653.00,654.30,645.70
25/10/2016,651.00,650.50,662.50,647.70
26/10/2016,674.70,651.00,678.40,651.40
27/10/2016,682.30,674.70,687.90,672.30
28/10/2016,686.20,682.30,688.40,678.60
29/10/2016,715.00,686.20,720.20,685.20
30/10/2016,697.30,715.00,714.90,689.50
31/10/2016,698.70,697.30,707.20,682.20
01/11/2016,726.80,698.70,734.40,695.20
02/11/2016,733.50,726.80,735.80,718.10
03/11/2016,684.90,733.50,744.40,670.40
04/11/2016,702.10,684.90,706.60,681.30
05/11/2016,702.10,702.10,706.40,694.00
06/11/2016,709.90,702.10,714.10,697.60
07/11/2016,705.40,709.90,711.70,698.30
08/11/2016,710.90,705.40,714.60,701.00
09/11/2016,721.40,710.90,741.20,707.10
10/11/2016,714.60,721.40,723.00,707.30
11/11/2016,715.00,714.60,719.80,711.70
12/11/2016,704.30,715.00,717.40,701.10
13/11/2016,702.00,704.30,705.60,685.00
14/11/2016,704.60,702.00,708.00,696.10
15/11/2016,711.10,704.60,716.90,697.90
16/11/2016,740.30,711.10,746.00,708.10
17/11/2016,737.50,740.30,751.90,730.10
18/11/2016,747.00,737.50,751.40,731.00
19/11/2016,747.90,747.00,755.30,737.40
20/11/2016,728.50,747.90,752.30,712.80
21/11/2016,736.20,728.50,744.30,726.50
22/11/2016,749.30,736.20,754.00,730.60
23/11/2016,741.10,749.30,750.90,731.30
24/11/2016,735.30,741.10,744.20,726.20
25/11/2016,740.40,735.30,741.30,729.00
26/11/2016,734.10,740.40,741.00,725.60
27/11/2016,729.40,734.10,738.30,727.10
28/11/2016,733.30,729.40,738.10,727.70
29/11/2016,732.60,733.30,737.00,727.80
30/11/2016,742.50,732.60,745.40,730.60
01/12/2016,752.60,742.50,755.50,741.10
02/12/2016,770.90,752.60,779.00,752.30
03/12/2016,764.20,770.90,772.30,755.80
04/12/2016,766.40,764.20,769.20,758.80
05/12/2016,754.30,766.40,769.20,746.00
06/12/2016,758.20,754.30,762.50,750.90
07/12/2016,765.60,758.20,769.00,754.30
08/12/2016,768.50,765.60,773.40,761.20
09/12/2016,770.50,768.50,773.50,765.00
10/12/2016,774.00,770.50,777.00,769.20
11/12/2016,767.90,774.00,774.20,763.00
12/12/2016,778.50,767.90,781.30,767.90
13/12/2016,778.70,778.50,790.30,767.80
14/12/2016,776.50,778.70,780.80,771.00
15/12/2016,775.20,776.50,780.30,773.10
16/12/2016,782.00,775.20,783.90,773.30
17/12/2016,787.20,782.00,791.60,779.40
18/12/2016,789.00,787.20,791.30,783.80
19/12/2016,789.80,789.00,793.70,786.30
20/12/2016,799.10,789.80,800.00,787.10
21/12/2016,829.20,799.10,833.10,796.00
22/12/2016,860.20,829.20,874.70,828.90
23/12/2016,917.20,860.20,920.30,858.00
24/12/2016,891.10,917.20,920.50,880.80
25/12/2016,891.10,891.10,895.20,851.40
26/12/2016,898.40,891.10,909.30,885.90
27/12/2016,925.80,898.40,937.90,893.40
28/12/2016,972.20,925.80,974.50,925.50
29/12/2016,971.10,972.20,982.60,949.20
30/12/2016,959.00,971.10,971.60,927.40
31/12/2016,963.40,959.00,965.50,942.40
01/01/2017,995.40,963.40,1001.60,956.10
